order_id,product_id,unit_price_usd,quantity,line_total_usd
1,226,107.15,1,107.15
2,771,116.17,1,116.17
3,415,94.49,1,94.49
3,24,42.86,1,42.86
4,1157,32.18,1,32.18
5,846,39.6,1,39.6
5,745,198.49,1,198.49
6,123,81.79,1,81.79
6,888,47.85,1,47.85
7,405,5.63,1,5.63
7,487,16.73,1,16.73
7,442,6.32,1,6.32
7,348,116.77,1,116.77
8,949,9.03,1,9.03
9,613,176.58,1,176.58
9,755,150.53,1,150.53
9,1078,65.84,1,65.84
10,769,9.69,1,9.69
11,1021,18.59,3,55.77
12,653,59.27,1,59.27
12,735,65.48,1,65.48
13,868,29.29,1,29.29
14,882,13.72,1,13.72
15,877,23.75,1,23.75
15,907,48.61,1,48.61
15,172,170.53,1,170.53
16,566,71.73,1,71.73
16,631,179.06,1,179.06
17,965,41.42,1,41.42
17,911,3.5,1,3.5
18,232,237.16,1,237.16
18,322,79.83,1,79.83
19,923,38.07,1,38.07
19,77,171.64,1,171.64
20,908,6.4,2,12.8
21,410,77.25,1,77.25
22,1057,54.28,1,54.28
23,1018,22.41,1,22.41
24,156,210.16,1,210.16
25,497,98.99,1,98.99
25,865,13.81,1,13.81
25,459,112.12,1,112.12
25,1158,75.95,1,75.95
26,1009,39.09,1,39.09
27,299,231.31,1,231.31
27,262,12.73,1,12.73
27,666,151.2,1,151.2
27,218,211.39,1,211.39
28,278,51.23,1,51.23
29,1108,13.13,2,26.26
29,1051,11.03,1,11.03
30,678,14.55,1,14.55
31,170,175.77,1,175.77
31,27,75.93,1,75.93
32,1108,13.13,1,13.13
32,517,142.24,1,142.24
33,769,9.69,1,9.69
34,995,4.96,1,4.96
34,900,4.78,2,9.56
35,944,18.98,1,18.98
36,602,66.63,1,66.63
36,351,110.22,1,110.22
37,1144,7.22,1,7.22
37,1065,22.01,1,22.01
38,217,122.23,1,122.23
39,411,94.97,1,94.97
40,998,28.79,1,28.79
41,1138,22.74,1,22.74
42,424,13.65,1,13.65
42,487,16.73,1,16.73
43,588,77.6,1,77.6
43,514,66.53,1,66.53
44,1027,59.77,1,59.77
45,770,39.58,1,39.58
46,797,65.59,1,65.59
46,433,94.68,1,94.68
46,830,160.7,1,160.7
47,501,46.78,1,46.78
48,972,7.07,4,28.28
48,335,24.77,1,24.77
49,501,46.78,1,46.78
50,535,83.1,1,83.1
51,913,49.17,1,49.17
51,754,40.34,1,40.34
52,466,51.43,1,51.43
52,198,138.99,1,138.99
52,458,8.28,1,8.28
52,277,51.2,1,51.2
53,1101,9.25,1,9.25
53,753,43.66,1,43.66
54,177,67.39,1,67.39
54,259,180.33,1,180.33
55,1084,19.89,1,19.89
56,811,111.38,1,111.38
56,900,4.78,1,4.78
57,748,44.44,1,44.44
57,356,70.59,1,70.59
58,489,81.98,1,81.98
59,1118,64.11,1,64.11
59,1016,8.31,1,8.31
59,1007,16.16,1,16.16
60,458,8.28,1,8.28
60,1009,39.09,1,39.09
60,284,159.05,3,477.15
60,892,43.01,1,43.01
61,233,35.74,1,35.74
62,774,195.08,1,195.08
62,825,60.48,1,60.48
63,977,20.57,1,20.57
64,579,43.27,1,43.27
65,732,34.22,1,34.22
66,269,145.96,1,145.96
66,288,19.86,1,19.86
67,10,85.54,1,85.54
68,907,48.61,1,48.61
68,913,49.17,1,49.17
69,369,7.41,1,7.41
69,392,19.5,1,19.5
69,363,107.5,1,107.5
70,849,54.41,3,163.23
71,802,79.62,1,79.62
72,961,27.05,1,27.05
73,337,157.03,1,157.03
73,741,19.58,1,19.58
74,1016,8.31,2,16.62
74,1018,22.41,1,22.41
75,1171,59.05,4,236.2
75,1163,73.63,1,73.63
75,1053,49.48,4,197.92
75,1014,8.15,2,16.3
76,1136,76.63,1,76.63
76,856,40.42,1,40.42
76,822,119.2,3,357.6
76,932,20.11,3,60.33
77,454,104.23,1,104.23
77,866,25.45,1,25.45
77,921,18.25,2,36.5
77,746,145.69,3,437.07
78,365,17.88,1,17.88
78,1049,18.19,1,18.19
79,60,79.45,4,317.8
80,973,29.12,1,29.12
81,300,29.19,4,116.76
82,994,22.96,1,22.96
82,377,5.5,3,16.5
83,1119,17.19,1,17.19
84,563,50.15,1,50.15
85,468,43.05,1,43.05
86,200,66.34,1,66.34
86,291,83.49,3,250.47
86,249,54.58,1,54.58
87,1084,19.89,1,19.89
88,933,14.22,1,14.22
88,623,27.51,1,27.51
88,631,179.06,1,179.06
