order_id,customer_id,order_time,payment_method,discount_pct,subtotal_usd,total_usd,country,device,source
1,13917,2025-01-31T23:07:42,card,20,107.15,85.72,PL,desktop,organic
2,1022,2024-02-19T01:17:50,card,0,116.17,116.17,FR,tablet,organic
3,6145,2024-12-04T20:24:13,card,0,137.35,137.35,US,mobile,organic
4,3152,2024-07-17T08:50:47,card,15,32.18,27.35,BR,mobile,email
5,12378,2020-08-21T16:54:16,card,0,238.09,238.09,NL,desktop,paid
6,18712,2022-03-07T03:42:34,paypal,0,129.64,129.64,GB,mobile,paid
7,17224,2020-03-15T08:56:46,wallet,15,145.45,123.63,JP,mobile,paid
8,3448,2021-12-06T01:26:52,card,0,9.03,9.03,JP,desktop,direct
9,9132,2022-11-28T03:34:04,card,20,392.95,314.36,IN,mobile,direct
10,14764,2023-03-15T10:06:17,paypal,20,9.69,7.75,ES,mobile,organic
11,14044,2025-03-12T02:48:39,card,15,55.77,47.4,US,mobile,direct
12,1718,2020-12-06T00:41:12,card,20,124.75,99.8,FR,mobile,social
13,16279,2020-05-10T10:18:59,card,20,29.29,23.43,GB,mobile,referral
14,9009,2023-10-02T00:59:30,card,0,13.72,13.72,BR,tablet,direct
15,16327,2022-04-23T14:28:19,card,0,242.89,242.89,GB,desktop,direct
16,8211,2023-05-13T14:56:47,card,5,250.79,238.25,DE,mobile,direct
17,16729,2022-11-23T15:23:15,paypal,15,44.92,38.18,SG,mobile,organic
18,7968,2022-05-08T19:59:31,wallet,15,316.99,269.44,JP,desktop,paid
19,6528,2023-02-23T08:57:27,card,20,209.71,167.77,MX,mobile,direct
20,787,2021-07-19T08:11:27,paypal,5,12.8,12.16,NL,desktop,paid
21,8489,2022-05-19T09:04:09,card,20,77.25,61.8,BR,tablet,organic
22,4199,2025-01-18T22:07:52,card,5,54.28,51.57,US,desktop,organic
23,16035,2024-08-25T12:22:01,paypal,10,22.41,20.17,NL,mobile,direct
24,17730,2020-06-18T15:21:54,paypal,0,210.16,210.16,NL,mobile,organic
25,10225,2024-11-06T00:36:27,card,20,300.87,240.7,US,mobile,paid
26,7679,2025-09-26T10:12:23,paypal,0,39.09,39.09,DE,mobile,social
27,9683,2020-11-17T01:34:56,card,5,606.63,576.3,NL,mobile,social
28,4760,2020-04-08T06:19:38,wallet,0,51.23,51.23,US,mobile,organic
29,3062,2022-12-29T09:37:33,card,15,37.29,31.7,US,desktop,organic
30,11356,2024-09-22T03:09:08,card,10,14.55,13.1,US,desktop,organic
31,6212,2021-04-20T19:29:41,card,15,251.7,213.95,AU,mobile,direct
32,8312,2021-04-02T13:45:50,card,15,155.37,132.06,GB,mobile,organic
33,14299,2023-04-09T21:16:25,card,0,9.69,9.69,SG,desktop,referral
34,4997,2021-08-29T04:48:29,card,0,14.52,14.52,DE,desktop,paid
35,8056,2020-04-12T05:00:17,paypal,20,18.98,15.18,BR,desktop,referral
36,18051,2023-09-19T22:20:11,card,20,176.85,141.48,ZA,tablet,paid
37,18605,2020-07-26T05:21:03,paypal,0,29.23,29.23,DE,mobile,referral
38,10401,2024-09-21T09:05:37,card,5,122.23,116.12,SG,mobile,organic
39,10741,2024-08-27T11:34:32,card,5,94.97,90.22,US,mobile,referral
40,415,2020-01-11T18:15:34,paypal,0,28.79,28.79,FR,tablet,organic
